127.0.0.1 - - [17/Mar/2019:21:57:33 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [17/Mar/2019:21:58:04 +0530] "GET /SpringMVCHibernateCRUD/ HTTP/1.1" 200 1400
0:0:0:0:0:0:0:1 - - [17/Mar/2019:21:58:35 +0530] "GET /SpringMVCHibernateCRUD/relational HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [17/Mar/2019:21:58:57 +0530] "POST /SpringMVCHibernateCRUD/relationalProcess HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2019:21:58:58 +0530] "GET /SpringMVCHibernateCRUD/relational HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [17/Mar/2019:21:59:04 +0530] "GET /SpringMVCHibernateCRUD/ HTTP/1.1" 200 1400
0:0:0:0:0:0:0:1 - - [17/Mar/2019:21:59:15 +0530] "GET /SpringMVCHibernateCRUD/relational HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [17/Mar/2019:21:59:34 +0530] "POST /SpringMVCHibernateCRUD/relationalProcess HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2019:21:59:34 +0530] "GET /SpringMVCHibernateCRUD/relational HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [17/Mar/2019:21:59:40 +0530] "GET /SpringMVCHibernateCRUD/ HTTP/1.1" 200 1400
0:0:0:0:0:0:0:1 - - [17/Mar/2019:21:59:58 +0530] "GET /SpringMVCHibernateCRUD/editEmployee?id=3 HTTP/1.1" 200 1295
0:0:0:0:0:0:0:1 - - [17/Mar/2019:22:00:01 +0530] "POST /SpringMVCHibernateCRUD/saveEmployee HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2019:22:00:01 +0530] "GET /SpringMVCHibernateCRUD/ HTTP/1.1" 200 1400
0:0:0:0:0:0:0:1 - - [17/Mar/2019:22:00:11 +0530] "GET /SpringMVCHibernateCRUD/relational HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [17/Mar/2019:22:00:18 +0530] "POST /SpringMVCHibernateCRUD/relationalProcess HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2019:22:00:18 +0530] "GET /SpringMVCHibernateCRUD/relational HTTP/1.1" 200 1202
